sample,pre-B cells,pro-B cells,Monocytes,Neutrophils,T cells,NK cells,Dendritic cells,B cells,Macrophages 1,Macrophages 2,Megakaryocyte,Erythroid cell,Basophil,LTHSC,MPP,MPP Ly-I,MPP Ly-II,MEP,CMP,GMP,CLP,LMPP,MPP2,MPP3,MPP4,PreNeu,Imm Neu1,Imm Neu2,Imm Neu3,Mature Neu1,Mature Neu2,Mature Neu3,Unknown,Total
GFP Integrated,77,498,3274,909,734,428,192,2426,0,3759,12890,1675,0,0,0,0,0,199,0,317,0,1918,0,0,0,0,0,993,0,0,5285,8112,126,43812
1_GFP-1 ,13,103,891,132,200,108,89,399,0,35,4146,369,0,0,0,0,0,71,0,65,0,782,0,0,0,0,0,237,0,0,1377,2622,28,11667
2_GFP-2,44,276,1275,305,143,131,48,1234,0,33,4193,732,0,0,0,0,0,63,0,95,0,549,0,0,0,0,0,384,0,0,1848,2761,60,14174
3_GFP-3,20,119,1108,472,391,189,55,793,0,3691,4551,574,0,0,0,0,0,65,0,157,0,587,0,0,0,0,0,372,0,0,2060,2729,38,17971
RBD Integrated,0,666,4001,1099,900,137,184,3925,0,157,4023,1887,0,656,0,0,0,251,0,282,0,4693,735,0,0,0,0,604,0,0,2468,10866,0,37534
4_RBD-1 ,0,268,1217,403,227,43,41,2340,0,36,1579,703,0,249,0,0,0,79,0,138,0,1245,334,0,0,0,0,253,0,0,933,3799,0,13887
5_RBD-2,0,297,1925,468,372,38,92,1141,0,42,1103,748,0,146,0,0,0,117,0,101,0,2418,258,0,0,0,0,201,0,0,909,3764,0,14140
6_RBD-3,0,101,859,228,301,56,51,444,0,79,1341,436,0,261,0,0,0,55,0,43,0,1030,143,0,0,0,0,150,0,0,626,3303,0,9507
G1C Integrated,423,1069,6677,2089,2614,477,1164,6435,0,346,1436,4261,222,1078,0,0,0,267,0,834,0,3663,1109,0,0,157,0,785,0,0,1233,8377,0,44716
10_G1C-1 ,139,269,1763,1094,537,95,327,1414,0,122,609,1586,108,514,0,0,0,94,0,408,0,760,316,0,0,46,0,489,0,0,694,3708,0,15092
11_G1C-2,158,438,3065,539,1132,200,500,2878,0,150,347,1588,75,296,0,0,0,114,0,251,0,1434,226,0,0,47,0,130,0,0,225,1897,0,15690
12_G1C-3,126,362,1849,456,945,182,337,2143,0,74,480,1087,39,268,0,0,0,59,0,175,0,1469,567,0,0,64,0,166,0,0,314,2772,0,13934
